position_or_role,to_league,age_band,row_count,fee_rate,mv_rate,fbref_perf_rate,wage_prior_rate
FWD,La Liga,33+,52,0.21153846153846154,0.7884615384615384,0.7692307692307693,0.07692307692307693
MID,Liga Portugal,25-28,52,0.1346153846153846,0.9615384615384616,0.6346153846153846,0.36538461538461536
Midfield,Serie A,29-32,52,0.3269230769230769,1.0,1.0,0.8269230769230769
Defender,Serie A,29-32,51,0.35294117647058826,1.0,1.0,0.7450980392156863
MID,Ligue 1,33+,51,0.0,0.49019607843137253,0.49019607843137253,0.3333333333333333
Attack,LaLiga,29-32,48,0.2708333333333333,1.0,1.0,0.3125
FWD,Eredivisie,25-28,48,0.16666666666666666,0.8541666666666666,0.5625,0.6875
Midfield,Premier League,29-32,48,0.125,1.0,0.9791666666666666,0.75
Attack,Serie A,29-32,46,0.391304347826087,1.0,1.0,0.8478260869565217
Goalkeeper,Premier League,25-28,45,0.4222222222222222,1.0,0.8666666666666667,0.7777777777777778
Midfield,Ligue 1,25-28,45,0.4888888888888889,1.0,0.9333333333333333,0.6888888888888889
Goalkeeper,Serie A,21-24,44,0.2727272727272727,1.0,0.7272727272727273,0.29545454545454547
DEF,Bundesliga,33+,41,0.17073170731707318,0.34146341463414637,0.34146341463414637,0.14634146341463414
FWD,Liga Portugal,<21,41,0.14634146341463414,0.9512195121951219,0.6585365853658537,0.34146341463414637
DEF,Eredivisie,<21,39,0.07692307692307693,0.9743589743589743,0.6153846153846154,0.5641025641025641
FWD,Bundesliga,33+,38,0.2894736842105263,0.5,0.5263157894736842,0.2894736842105263
FWD,Ligue 1,33+,38,0.05263157894736842,0.5,0.5,0.23684210526315788
Goalkeeper,Premier League,21-24,38,0.2631578947368421,0.9473684210526315,0.6578947368421053,0.3157894736842105
Defender,LaLiga,29-32,37,0.1891891891891892,1.0,1.0,0.2702702702702703
Attack,Premier League,29-32,35,0.2,1.0,0.9714285714285714,0.8
MID,Bundesliga,33+,35,0.11428571428571428,0.2857142857142857,0.22857142857142856,0.17142857142857143
DEF,Eredivisie,25-28,34,0.17647058823529413,0.9117647058823529,0.6176470588235294,0.8529411764705882
Goalkeeper,Serie A,25-28,34,0.3235294117647059,1.0,0.8529411764705882,0.6470588235294118
MID,Eredivisie,25-28,34,0.23529411764705882,0.9117647058823529,0.7058823529411765,0.7058823529411765
Defender,Ligue 1,29-32,32,0.28125,1.0,1.0,0.71875
MID,Liga Portugal,<21,31,0.16129032258064516,0.9032258064516129,0.5483870967741935,0.2903225806451613
Attack,Bundesliga,29-32,30,0.43333333333333335,1.0,1.0,0.9
DEF,Liga Portugal,29-32,30,0.23333333333333334,0.9666666666666667,0.7666666666666667,0.4
Midfield,LaLiga,29-32,30,0.2,1.0,0.9666666666666667,0.43333333333333335
Defender,Premier League,29-32,27,0.07407407407407407,1.0,1.0,0.8888888888888888
Midfield,Ligue 1,29-32,27,0.3333333333333333,1.0,0.9629629629629629,0.9259259259259259
